"日期","收盘","开盘","高","低","涨跌幅"
"2023-5-1","2.714","2.878","2.878","2.693","-2.55%"
"2023-4-1","2.785","2.913","2.958","2.775","-2.66%"
"2023-3-1","2.861","2.918","2.990","2.850","-1.79%"
"2023-2-1","2.913","2.966","3.020","2.889","-0.51%"
"2023-1-1","2.928","2.947","3.060","2.856","1.53%"
"2022-12-1","2.884","2.932","3.025","2.858","-1.33%"
"2022-11-1","2.923","2.670","2.943","2.650","10.30%"
"2022-10-1","2.650","2.865","2.865","2.636","-4.74%"
"2022-9-1","2.782","2.661","2.800","2.623","5.02%"
"2022-8-1","2.649","2.805","2.805","2.615","-3.99%"
"2022-7-1","2.759","2.853","2.905","2.755","-2.30%"
"2022-6-1","2.824","2.825","2.880","2.776","0.75%"
"2022-5-1","2.803","2.928","2.928","2.742","-1.34%"
"2022-4-1","2.841","2.854","2.922","2.783","0.85%"
"2022-3-1","2.817","2.854","2.935","2.761","0.93%"
"2022-2-1","2.791","2.800","2.887","2.712","1.53%"
"2022-1-1","2.749","2.850","2.890","2.660","-1.22%"
"2021-12-1","2.783","2.903","2.940","2.771","-2.93%"
"2021-11-1","2.867","3.030","3.050","2.848","-3.66%"
"2021-10-1","2.976","3.000","3.108","2.885","3.55%"
"2021-9-1","2.874","2.930","3.000","2.823","0.60%"
"2021-8-1","2.857","2.970","2.980","2.803","0.42%"
"2021-7-1","2.845","3.107","3.210","2.843","-7.72%"
"2021-6-1","3.083","3.112","3.230","3.068","0.19%"
"2021-5-1","3.077","3.208","3.260","3.063","-3.12%"
"2021-4-1","3.176","3.227","3.320","3.145","-0.78%"
"2021-3-1","3.201","3.325","3.360","3.196","-2.68%"
"2021-2-1","3.289","3.250","3.385","3.177","1.92%"
"2021-1-1","3.227","3.278","3.278","3.123","0.75%"
"2020-12-1","3.203","3.369","3.401","3.174","-2.35%"
"2020-11-1","3.280","3.190","3.418","3.166","2.76%"
"2020-10-1","3.192","3.294","3.300","3.161","1.17%"
"2020-9-1","3.155","3.055","3.250","3.038","3.34%"
"2020-8-1","3.053","3.035","3.135","2.940","2.69%"
"2020-7-1","2.973","2.900","3.200","2.870","2.69%"
"2020-6-1","2.895","2.738","3.010","2.703","6.94%"
"2020-5-1","2.707","2.545","2.753","2.540","7.85%"
"2020-4-1","2.510","2.660","2.682","2.490","-5.75%"
"2020-3-1","2.663","2.750","2.865","2.578","-4.82%"
"2020-2-1","2.798","2.850","2.955","2.798","-8.26%"
"2020-1-1","3.050","3.175","3.215","3.015","-3.88%"
"2019-12-1","3.173","3.215","3.287","3.140","-0.60%"
"2019-11-1","3.192","3.343","3.343","3.163","-2.71%"
"2019-10-1","3.281","3.190","3.378","3.115","3.99%"
"2019-9-1","3.155","3.080","3.215","3.015","2.84%"
"2019-8-1","3.068","3.192","3.194","3.015","-3.61%"
"2019-7-1","3.183","3.315","3.315","3.140","-2.93%"
"2019-6-1","3.279","3.320","3.324","3.243","-0.55%"
"2019-5-1","3.297","3.400","3.415","3.265","-3.48%"
"2019-4-1","3.416","3.140","3.480","3.114","11.09%"
"2019-3-1","3.075","3.218","3.280","3.075","-4.15%"
"2019-2-1","3.208","3.143","3.230","3.080","2.49%"
"2019-1-1","3.130","3.280","3.280","3.091","-4.28%"
"2018-12-1","3.270","3.420","3.443","3.268","-3.77%"
"2018-11-1","3.398","3.562","3.588","3.350","-3.82%"
"2018-10-1","3.533","3.640","3.668","3.525","-3.34%"
"2018-9-1","3.655","3.650","3.727","3.605","1.53%"
"2018-8-1","3.600","3.583","3.710","3.465","1.90%"
"2018-7-1","3.533","3.550","3.615","3.444","-0.28%"
"2018-6-1","3.543","3.666","3.722","3.534","-2.83%"
"2018-5-1","3.646","3.700","3.780","3.621","-0.19%"
"2018-4-1","3.653","3.800","3.800","3.520","-3.31%"
"2018-3-1","3.778","3.860","3.975","3.733","-2.05%"
"2018-2-1","3.857","3.986","3.990","3.847","-2.21%"
"2018-1-1","3.944","3.950","4.120","3.881","0.74%"
